id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
1;Liam;36;232;2;2;164;180;5;2;0
2;Noah;39;220;4;2;71;128;14;3;0
3;Oliver;51;88;0;2;81;79;3;4;0
4;Elijah;39;62;0;7;106;79;3;1;0
5;William;34;126;0;2;61;88;3;5;2
6;James;30;77;0;3;142;104;3;4;0
7;Benjamin;46;225;11;8;126;158;3;3;0
8;Lucas;24;130;0;3;191;155;3;5;12
9;Henry;37;217;12;2;104;143;3;4;0
10;Alexander;44;221;8;7;143;164;3;2;0
11;Mason;21;200;11;2;182;173;11;0;0
12;Michael;31;192;14;7;149;153;3;2;0
13;Ethan;41;120;0;3;180;145;3;5;2
14;Daniel;44;109;0;7;84;91;3;3;0
15;Jacob;28;86;0;3;181;128;3;1;0
16;Logan;21;85;0;7;173;124;3;2;0
17;Jackson;37;155;0;2;116;130;2;5;3
18;Levi;29;67;0;2;83;70;1;2;0
19;Sebastian;33;152;0;4;88;115;8;5;2
20;Mateo;47;231;5;6;200;198;7;3;0
21;Jack;37;195;3;2;119;139;4;3;0
22;Owen;43;65;0;2;65;60;9;4;0
23;Theodore;32;216;3;2;102;141;6;3;0
24;Aiden;50;128;0;1;128;123;10;5;1
25;Samuel;39;93;0;3;64;73;11;3;0
26;Joseph;52;193;14;2;123;140;13;1;0
27;John;49;223;14;5;104;146;12;4;0
28;David;47;134;0;3;139;131;14;5;8
29;Wyatt;40;94;0;2;119;101;15;2;0
30;Matthew;39;67;0;7;64;60;5;1;0
31;Luke;26;154;0;2;82;113;16;5;3
32;Asher;30;143;0;2;73;103;10;5;3
33;Carter;45;186;3;2;191;171;8;0;0
34;Julian;48;111;0;7;152;126;14;5;3
35;Grayson;31;130;0;3;150;135;14;5;4
36;Leo;34;215;5;7;175;177;14;1;0
37;Jayden;21;61;0;2;179;115;14;3;0
38;Gabriel;46;67;0;7;129;93;14;0;0
39;Isaac;45;142;0;7;82;107;14;5;11
40;Lincoln;24;145;0;2;152;143;14;5;10
41;Anthony;27;192;13;6;177;167;5;2;0
42;Hudson;45;98;0;7;105;96;5;3;0
43;Dylan;29;234;14;1;182;190;14;2;0
44;Ezra;22;75;0;2;177;121;5;0;0
45;Thomas;31;90;0;7;93;86;5;3;0
46;Charles;44;89;0;2;127;103;14;0;0
47;Christopher;31;229;2;2;122;158;14;3;0
48;Jaxon;41;74;0;5;128;96;14;1;0
49;Maverick;40;76;0;3;147;106;5;4;0
50;Josiah;43;155;0;8;74;109;5;5;16
51;Isaiah;20;220;16;4;152;168;5;2;0
52;Andrew;51;159;0;2;137;143;5;5;13
53;Elias;45;215;2;1;102;141;5;4;0
54;Joshua;46;133;0;2;100;111;5;5;16
55;Nathan;53;129;0;2;118;118;5;5;13
56;Caleb;23;191;13;7;122;139;5;0;0
